"Location","Year","No.","Dates","Attendance","Theme","Plenary","Program","Awards","Reports","lon","lat"
"Philadelphia, PA",1926,11,"28-Dec-26",NA,"","","","","",-75.1652215,39.9525839
"Pittsburgh, PA",2010,95,"Aug 1-6, 2010",3525,"Global Warming: The legacy of our past, the challenge for our future","Plenary","Program","Awards","Reports",-79.9958864,40.4406248
"Pittsburgh, PA",1917,2,"Dec 28, 1916- Jan 1, 1917",NA,"","","Minutes at Jstor","","",-79.9958864,40.4406248
"Pittsburgh, PA",1934,19,"Dec 27-28, 1934",NA,"","","","","",-79.9958864,40.4406248
"Portland, OR",2017,102,"August 6-11, 2017",4533,"Linking biodiversity, material cycling and ecosystem services in a changing world","Plenary","Program","Awards","Reports",-122.6750261,45.5051064
"Portland, OR",2012,97,"Aug 5-10, 2012",4992,"Life on Earth: Preserving, Utilizing, and Sustaining our Ecosystems","Plenary","Program","Awards","Reports",-122.6750261,45.5051064
"Portland, OR",2004,89,"Aug 1-6, 2004",NA,"Lessons of Lewis & Clark: Ecological Exploration of Inhabited Landscapes","Plenary","Program","Awards","Reports",-122.6750261,45.5051064
"Providence, RI",1996,81,"Aug 10-14, 1996",2900,"Ecologists/Biologists as Problem-solvers","","","","",-71.4128343,41.8239891
"Purdue University",1961,46,"Aug 28 – Sept 1, 1961",NA,"","","","","",-86.9211946,40.4237054
"Richmond, VA",1938,23,"Dec 27-29, 1938",NA,"","","","","",-77.4360481,37.5407246
"Sacramento, CA",2014,99,"Aug 10-15, 2014",3629,"From Oceans to Mountains: It's All Ecology","","","","",-121.4943996,38.5815719
"San Antonio, TX",1991,76,"Aug 3-8, 1991",NA,"Education: The Future of Biology","","","","",-98.4936282,29.4241219
"San Jose, CA",2007,92,"Aug 5-10, 2007",4185,"Ecology-based restoration in a changing world","Plenary","Program","Awards","Reports",-121.8863286,37.3382082
"Savannah, GA",2003,88,"Aug 3-8, 2003",2718,"Uplands to Lowlands: Coastal processes in a time of global change","Plenary","Program","Awards","Reports",-81.091203,32.0808989
"Snowbird, UT",2000,85,"Aug 6-10, 2000",2664,"Communicating and Advancing Ecology","Plenary","Program","Awards","Reports",-111.6563885,40.5810814
"Snowbird, UT",1990,75,"July 29-Aug 1990",NA,"Perspectives in Ecology: Past, Present, and Future","","","","",-111.6563885,40.5810814
"Snowbird, UT",1995,80,"July 30-Aug 3, 1995",2500,"The Transdisciplinary Nature of Ecology","","","","",-111.6563885,40.5810814
"Spokane, WA",1999,84,"Aug 8-12, 1999",2985,"Legacies, Landscapes, and Limits: Bridging Borders","","","","",-117.4260465,47.6587802
"St. Louis, MO",1919,4,"Dec 30, 1919 – Jan 1, 1920",NA,"","","","","",-90.1994042,38.6270025
"St. Louis, MO",1935,20,"Dec 31, 1935-Jan 2, 1936",NA,"","","","","",-90.1994042,38.6270025
"St. Louis, MO",1945,30,"March 27-30, 1946",NA,"","","","","",-90.1994042,38.6270025
"Stanford University",1957,42,"Aug 25-29, 1957",NA,"","","","","",-122.169719,37.4274745
"Stillwater, OK",1979,64,"Aug 12-17, 1979",NA,"Mid-American Grasslands--Prairie to Dustbowl to Present","","","","",-97.0583681,36.1156071
"Stillwater, OK",1960,45,"Aug 28 – Sept 1, 1960",NA,"","","","","",-97.0583681,36.1156071
"Syracuse, NY",1986,71,"Aug 10-16, 1986",NA,"","","","","",-76.1474244,43.0481221
"Tempe, AZ",1974,59,"June 16-21, 1974",NA,"","","","","",-111.9400054,33.4255104
"Tucson, AZ",2002,87,"Aug 23-25, 2002",3756,"A Convocation: Understanding and Restoring Ecosystems","Plenary","Program","Awards","Reports",-110.9747108,32.2226066
"Tucson, AZ",1980,65,"Aug 3-7 1980",NA,"","","","","",-110.9747108,32.2226066
"University of Colorado",1964,49,"Aug 23-28, 1964",NA,"","","","","",-105.2659417,40.007581
"University of Connecticut",1956,41,"Aug 27-29, 1956",NA,"","","","","",-72.2539805,41.8077414
"University of Florida",1954,39,"Sept 5-9, 1954",NA,"","","","","",-82.3549302,29.6436325
"University of Illinois",1965,50,"Aug 15-17, 1965",NA,"","","","","",-88.2271615,40.1019523
"University of Indiana",1958,43,"Aug 25-28, 1958",NA,"","","","","",-86.512627,39.1754487
"University of Maryland",1948,33,"Sept 10-12, 1948",NA,"","","","","",-76.93776,38.9896967
"University of Maryland",1966,51,"Aug 14-17, 1966",NA,"","","","","",-76.93776,38.9896967
"University of Massachusetts",1973,58,"June 17-22, 1973",NA,"","","","","",-72.5300515,42.3867598
"University of Massachusetts       ",1963,48,"Aug 27-31, 1963",NA,"","","","","",-72.5300515,42.3867598
"University of Vermont             ",1970,55,"Aug 23-25, 1970",NA,"","","","","",-73.1964637,44.4778528
"University of Wisconsin",1953,38,"Sept 6-9, 1953",NA,"","","","","",-89.4124875,43.076592
"University of Wisconsin           ",1969,54,"Aug 17-19, 1969",NA,"","","","","",-89.4124875,43.076592
"University Park, PA",1959,44,"Aug 31 – Sept 4, 1959",NA,"","","","","",-77.8653126,40.8147955
"University Park, PA",1982,67,"Aug 8-12, 1982",NA,"","","","","",-77.8653126,40.8147955
"Washington, DC",1924,9,"29-Dec-24",NA,"","Program at Jstor","","","",-77.0368707,38.9071923
